Link|Receta|Ingredientes|Comensales|Tiempo|Dificultad
https://www.recetasgratis.net/receta-de-tarta-de-brocoli-y-atun-76880.html|Tarta de brócoli y atún|['1 planta de brócoli', '1 cebolla', '120 gramos de lomitos de atún al natural', '¼ morrón rojo', '2 huevos', '1 cucharada postre de cúrcuma', '1 pizca de ají molido', '1 disco de masa de tarta', '2 cucharadas soperas de pan rallado, avena o polenta']|4 comensales|45m|Dificultad baja
https://www.recetasgratis.net/receta-de-tarta-de-atun-y-tomate-76879.html|Tarta de atún y tomate|['1 disco de masa de tarta', '250 gramos de lomitos de atún al natural', '1 cebolla grande', '¼ morrón rojo', '1 cucharada sopera de extracto de tomate', '2 cucharadas soperas de polenta, pan rallado o avena', '1 huevo', '1 pizca de ají molido', '1 cucharadita de orégano', '1 cucharadita de pimienta']|4 comensales|45m|Dificultad baja
https://www.recetasgratis.net/receta-de-empanadas-4-quesos-76838.html|Empanadas 4 quesos|['100 gramos de queso mozzarella', '100 gramos de queso cremoso', '30 gramos de queso rallado', '50 gramos de queso azul', '1 cucharada sopera de orégano', '6 tapas de empanada', '1 cucharada sopera de harina']|2 comensales|30m|Dificultad baja
https://www.recetasgratis.net/receta-de-gorditas-de-maseca-76818.html|Gorditas de maseca|['2 tazas de harina de maíz Maseca', '½ taza de harina de trigo                                                                    (70 gramos)', '1 cucharadita de polvo para hornear', '1 cucharadita de ajo en polvo', '½ cucharadita de sal', '1½ tazas de agua tibia', '100 gramos de chicharrón prensado rallado', '2 tazas de aceite vegetal para freír', '¼ pieza de cebolla blanca finamente picada', '¼ taza de crema ácida', '½ taza de queso panela rallado', '1 taza de lechuga rallada']|3 comensales|2h 30m|Dificultad media
https://www.recetasgratis.net/receta-de-quesadilla-de-chicharron-76813.html|Quesadilla de chicharrón|['250 gramos de chicharrón prensado molido', '3 jitomates', '2 dientes de ajo', '½ pieza de cebolla blanca', '2 chiles guajillos', '3 cucharadas soperas de aceite vegetal', '½ kilogramo de masa de maíz', '1 cucharada sopera de manteca de cerdo', 'sal al gusto', '¼ taza de crema ácida', '½ taza de queso panela rallado', '1 taza de lechuca picada']|5 comensales|1h 30m|Dificultad media
https://www.recetasgratis.net/receta-de-tacos-de-pastor-negro-76782.html|Tacos de pastor negro|['6 chiles anchos', '½ cucharadita de sal fina', '3 pimientas gordas', '3 pimientas negras', '3 clavos de olor', '½ cucharada sopera de comino', '3 dientes de ajo', '¼ pieza de cebolla blanca', '½ cucharada sopera de orégano', '1 cubo de pasta achiote', '1 cucharadita de vinagre blanco', '3 cucharadas soperas de salsa de soya', '1 chorro de salsa inglesa', '½ kilogramo de milanesa de puerco en cuadritos para pastor', '½ kilogramo de tortillas de maíz', '5 limones en mitades', '½ pieza de cebolla blanca finamente picada', '1 manojo de cilantro finamente picado', 'salsa picante al gusto', 'sal al gusto']|4 comensales|24h|Dificultad baja
https://www.recetasgratis.net/receta-de-tamales-sinaloenses-76791.html|Tamales sinaloenses|['½ kilogramo de harina de maíz', '150 gramos de manteca de puerco', '½ cucharada sopera de polvo para hornear', '½ cucharada sopera de carbonato', '2 chiles anchos', '350 gramos de falda de cerdo para deshebrar', '250 gramos de jitomate', '250 gramos de cebolla', '3 dientes de ajo', 'chiles jalapeños en rajas al gusto', '2 zanahorias medianas', '1 papa grande', '1 cubo de consomé de pollo', 'sal y pimienta al gusto', 'aceite vegetal', '50 hojas de maíz para tamal']|25 comensales|4h|Dificultad media
https://www.recetasgratis.net/receta-de-yuca-rellena-con-queso-76781.html|Yuca rellena con queso|['1 kilogramo de yucas', '250 gramos de queso fresco, mozzarella, gouda', '1 huevo o aceite c/n para la masa de yuca', '2 huevos', '100 gramos de harina', '150 gramos de pan molido', 'sal al gusto', 'aceite para freír']|10 comensales|1h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-enchiladas-potosinas-con-papa-y-zanahoria-76764.html|Enchiladas potosinas con papa y zanahoria|['2 jitomates grandes', '3 chiles guajillos', '3 dientes de ajo', '½ pieza de cebolla blanca', '1 cubo de consomé en polvo', '1 taza de puré de tomate', '1 taza de agua                                                                    (240 mililitros)', '3 papas', '2 zanahorias', '1 cubo de mantequilla', 'sal y pimienta para sazonar', '12 tortillas de maíz', '1 taza de aceite vegetal', '1 taza de queso panela rallado', '¼ taza de crema ácida', '¼ pieza de cebolla blanca rebanada']|4 comensales|1h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-garnachas-veracruzanas-76759.html|Garnachas veracruzanas|['½ pieza de cebolla blanca', '2 dientes de ajo', '3 chiles guajillos', '2 cucharadas soperas de manteca de cerdo', '2 jitomates grandes', '1 chile chipotle de lata', '¼ cucharadita de comino', '¼ cucharadita de orégano', '¼ cucharada sopera de tomillo seco', 'sal y pimienta al gusto', '1½ tazas de agua                                                                    (360 mililitros)', 'Para las garnachas', '½ kilogramo de pechuga de pollo cocida', '12 piezas de tortillas de maíz', '2 tazas de aceite vegetal', '½ pieza de cebolla blanca']|4 comensales|45m|Dificultad baja
https://www.recetasgratis.net/receta-de-gorditas-de-chicharron-prensado-76726.html|Gorditas de chicharrón prensado|['400 gramos de masa de maíz', '1 cucharadita de polvo para hornear', '¼ cucharadita de sal', '1 cucharadita de ajo en polvo', '2 cucharadas soperas de manteca de cerdo', '100 gramos de chicharrón prensado molido', '2 tazas de aceite vegetal para freír', '¼ pieza de cebolla blanca finamente picada', '½ taza de queso panela rallado', '½ taza de crema ácida']|3 comensales|45m|Dificultad baja
https://www.recetasgratis.net/receta-de-gorditas-de-requeson-76735.html|Gorditas de requesón|['800 gramos de masa de maíz', '4 cucharadas soperas de aceite vegetal', '2 cucharaditas de polvo para hornear', '½ cucharadita de sal fina', '1 cucharadita de ajo en polvo', '3 tazas de aceite vegetal para freír', '250 gramos de requesón', '10 hojas de epazote desinfectadas', 'sal y pimienta al gusto', '¼ pieza de cebolla blanca finamente picada', '½ taza de queso panela rallado', '½ taza de crema ácida']|6 comensales|1h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-gorditas-de-chicharron-76725.html|Gorditas de chicharrón|['400 gramos de masa de maíz', '1 cucharadita de polvo para hornear', '¼ cucharadita de sal', '1 cucharadita de ajo en polvo', '2 cucharadas soperas de manteca de cerdo', '2 tazas de aceite vegetal para freír', '125 gramos de chicharrón prensado picado', '¼ pieza de cebolla blanca', '3 dientes de ajo chicos', '2 chiles guajillos chicos', '4 jitomates chicos', '¼ taza de agua                                                                    (60 mililitros)', '3 cucharadas soperas de aceite vegetal', '¼ pieza de cebolla blanca finamente picada', '½ taza de queso panela rallado', '½ taza de crema ácida', '2 tazas de lechuga picada']|3 comensales|45m|Dificultad baja
https://www.recetasgratis.net/receta-de-tarta-de-pollo-y-queso-76724.html|Tarta de pollo y queso|['1 disco de masa para tarta', '300 gramos de suprema de pollo', '100 gramos de queso muzzarella o cremoso', '100 gramos de queso cheddar', '2 cebollas de verdeo', '1 cebolla', '1 zanahoria', '½ copa de vino blanco', '2 cucharadas soperas de aceite', '1 huevo']|4 comensales|1h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-enchiladas-morelianas-76716.html|Enchiladas morelianas|['3 chiles guajillos', '1 chile ancho', '4 jitomates', '½ pieza de cebolla blanca', '3 dientes de ajo', '½ cucharadita de sal fina', '1 cubo de consomé de pollo', '2 cucharadas soperas de aceite vegetal', '1½ tazas de agua                                                                    (360 mililitros)', '9 tortillas de maíz', '½ taza de crema ácida', '½ taza de queso panela rallado', '6 hojas de lechuga desinfectada', '1 taza de aceite vegetal', '2 papas chicas', '1 zanahoria grande', '300 gramos de chorizo', '2 cucharadas soperas de aceite vegetal', 'sal al gusto']|3 comensales|1h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-tacos-de-sesos-76717.html|Tacos de sesos|['½ kilogramo de sesos de res', '3 dientes de ajo', '1 cebolla', '3 limones', '1 cucharadita de sal fina', '1 cucharadita de mostaza', '1 cucharada sopera de salsa de soya', '1 cucharada postre de salsa inglesa', '½ cucharadita de ajo en polvo', '½ cucharadita de pimienta molida', '3 cucharadas soperas de aceite vegetal', '6 tortillas de maíz']|2 comensales|45m|Dificultad muy baja
https://www.recetasgratis.net/receta-de-tacos-mineros-76714.html|Tacos mineros|['½ kilogramo de tortillas de maíz', '100 gramos de tocino picado', '250 gramos de carne de cerdo molida', '1 taza de frijoles refritos', '2 jitomates picados', '2 papas medianas', '5 hojas de epazote', 'sal al gusto', '2 tazas de aceite vegetal para freír', 'palillos de madera', '3 tazas de puré de tomate', '2 jitomates grandes', '3 dientes de ajo', '½ pieza de cebolla blanca', '1 cucharadita de orégano', '1 cubo de consomé de pollo', 'sal al gusto', '2 cucharadas soperas de aceite vegetal', '1 tarro de crema ácida']|6 comensales|1h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-gozleme-76708.html|Gözleme|['Para la masa:', '135 gramos de agua', '300 gramos de harina', '3 gramos de sal', '15 gramos de aceite de oliva', 'Para el relleno:', '500 gramos de hojas de espinacas', '200 gramos de queso feta', 'aceite de oliva c/n', '1 cebolla picada finamente', 'sal al gusto']|6 comensales|1h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-tacos-de-milanesa-76705.html|Tacos de milanesa|['500 gramos de milanesas de cerdo', '250 gramos de pan molido', '2 huevos', '1 pellizco de sal', '1 pizca de pimienta', '1 chorro de leche', '3 cucharaditas de vinagre', '2 tazas de aceite vegetal', '5 tomates verdes', '½ pieza de cebolla blanca', '2 dientes de ajo', '2 chiles serranos', '½ pieza de aguacate', '½ cucharadita de sal', '½ kilogramo de tortillas de maíz', '¼ kilogramo de papas a la francesa congeladas', '2 tazas de aceite vegetal', 'sal al gusto']|5 comensales|1h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-tarta-de-zapallitos-y-pollo-76695.html|Tarta de zapallitos y pollo|['1 pata y muslo de pollo', '1 huevo', '2 zapallitos', '1 cebolla', '1 masa de tarta', '2 cucharadas soperas de pan rallado', '1 cucharada postre de tomillo', '1 cucharada postre de nuez moscada', '1 pizca de pimienta']|4 comensales|1h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-empanadas-caprese-76621.html|Empanadas caprese|['8 discos de empanada', '3 tomates pequeños', '100 gramos de mozzarella', '2 cucharadas soperas de aceitunas negras en rodajas', '1 puñado de albahaca fresca']|2 comensales|30m|Dificultad baja
https://www.recetasgratis.net/receta-de-empanadas-de-pollo-peruanas-76604.html|Empanadas de pollo peruanas|['250 gramos de harina', '125 gramos de mantequilla o manteca vegetal', '78 gramos de agua fría', '15 gramos de huevo', '4 gramos de sal', '30 gramos de azúcar en polvo', 'huevo para barnizar c/n', '1 pechuga de pollo grande', '½ cebolla roja', '1 cucharada sopera de ajo molido', '2 cucharadas soperas de ají panca', 'aceitunas negras', 'huevos', 'perejil picado c', '½ ají amarillo fresco picado (opcional)', '1 pizca de pimienta negra molida']|12 comensales|2h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-escribano-arequipeno-76605.html|Escribano arequipeño|['2 papa blanca o rosada', '2 tomates', 'rocoto c/n', '2 cucharadas soperas de vinagre blanco', '3 cucharadas soperas de aceite de oliva', 'sal al gusto', 'perejil picado c/n']|2 comensales|30m|Dificultad muy baja
https://www.recetasgratis.net/receta-de-empanadas-de-vacio-y-provolone-76571.html|Empanadas de vacío y provolone|['1 kilogramo de vacío', '2 pimientos', '250 gramos de queso provolone', '12 discos de empanadas', '1 huevo para pintar']|4 comensales|2h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-empanadas-de-entrana-76575.html|Empanadas de entraña|['12 discos de tapas para empanadas', '750 gramos de entraña', '1 cebolla grande', '1 pimiento morrón cocido', '1 diente de ajo', 'sal, pimienta, romero, comino, ají molido a gusto', '1 huevo para pintar']|4 comensales|1h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-enfrijoladas-con-chorizo-76558.html|Enfrijoladas con chorizo|['2 tazas de frijoles enteros cocidos', '½ pieza de cebolla blanca', '3 dientes de ajo pelados', '1 chile chipotle adobado', '2 cucharadas soperas de aceite vegetal', '2 hojas de epazote fresco', 'sal y pimienta al gusto', '200 gramos de chorizo', '1 pieza de papa en cubos cocida', '16 piezas de tortilla de maíz', '½ taza de crema ácida', '1 rama de cilantro fresco', '½ pieza de cebolla morada en julianas']|4 comensales|30m|Dificultad baja
https://www.recetasgratis.net/receta-de-tarta-de-queso-y-cebolla-76567.html|Tarta de queso y cebolla|['3 cebollas grandes', '2 huevos', '100 centímetros cúbicos de crema de leche', '150 gramos de queso muzzarella', '1 disco de masa de tarta salada', 'sal, pimienta y nuez moscada a gusto']|4 comensales|45m|Dificultad baja
https://www.recetasgratis.net/receta-de-croquetas-de-bacalao-y-gambas-76553.html|Croquetas de bacalao y gambas|['100 gramos de gambas', '100 gramos de bacalao desalado', '1 cebolla', '50 gramos de mantequilla', '2 cucharadas soperas de aceite de oliva', '50 gramos de harina', '500 mililitros de leche', '2 huevos', 'pan rallado', 'aceite para freir', 'sal', 'nuez moscada']|4 comensales|45m|Dificultad media
https://www.recetasgratis.net/receta-de-tostadas-de-pollo-con-lechuga-76544.html|Tostadas de pollo con lechuga|['1 pechuga de pollo', 'sal y pimienta al gusto', '1 pizca de comino', '3 hojas de laurel', '2 papas picadas en cubos y precocidas', '2 piezas de jitomate picado', '1 chile chipotle picado', '½ taza de cilantro picado', '½ pieza de cebolla morada en julianas', '1 cucharada sopera de aceite', '12 tostadas de maíz', '1 taza de queso fresco desmoronado', '1 taza de frijoles refritos', '2 tazas de lechuga rallada']|6 comensales|45m|Dificultad baja
https://www.recetasgratis.net/receta-de-empanadas-de-morcilla-76534.html|Empanadas de morcilla|['12 discos de tapas para empanadas', '4 morcillas', '1 cebolla grande', '1 cebolla de verdeo', '1 huevo para pintar']|4 comensales|45m|Dificultad baja
https://www.recetasgratis.net/receta-de-empanadas-de-chorizo-76533.html|Empanadas de chorizo|['12 discos de tapas para empanadas', '3 chorizos frescos parrilleros', '1 pimiento rojo', '1 cebolla', '1 huevo para pintar']|4 comensales|1h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-ceviche-de-pescado-con-mango-76520.html|Ceviche de pescado con mango|['2 filetes de pescado tilapia', '2 piezas de mango medianos', '1 pieza de cebolla morada mediana', '2 piezas de jitomate mediano', '2 piezas de chile habanero', '10 piezas de limón', '1 pieza de aguacate en cubos', 'sal y pimienta al gusto', '1 rama de cilantro picado', '2 cucharadas soperas de jugo sazonador']|2 comensales|30m|Dificultad baja
https://www.recetasgratis.net/receta-de-empanadas-de-bondiola-braseada-76506.html|Empanadas de bondiola braseada|['500 gramos de bondiola', '12 discos de empanada', '1 huevo', '1 lata de tomates perita', '1 cucharada sopera de ketchup', '1 cucharada postre de pimentón']|4 comensales|2h 30m|Dificultad media
https://www.recetasgratis.net/receta-de-empanada-en-freidora-de-aire-76500.html|Empanada en freidora de aire|['6 discos de empanada', '1 huevo', '60 gramos de queso mozzarella', '30 gramos de chorizo o longaniza']|2 comensales|15m|Dificultad muy baja
https://www.recetasgratis.net/receta-de-empanadas-arabes-abiertas-76511.html|Empanadas árabes abiertas|['200 gramos de harina 000', '5 gramos de levadura seca', '100 centímetros cúbicos de agua', '2 cucharadas soperas de aceite', '400 gramos de carne picada', '½ cebolla', '¼ morrón rojo', '1 puñado de perejil fresco', '1 cucharadita de menta seca', '1 cucharadita de baharat', '½ cucharadita de comino', '1 tomate', 'jugo de limón']|4 comensales|1h 30m|Dificultad baja
https://www.recetasgratis.net/receta-de-empanadas-de-salchicha-76505.html|Empanadas de salchicha|['3 salchichas', '100 gramos de queso mozzarella', '3 cucharadas soperas de mayonesa', '1 cucharada postre de ketchup', '½ cucharada postre de salsa inglesa', '6 discos de empanada']|2 comensales|30m|Dificultad baja
https://www.recetasgratis.net/receta-de-empanadas-de-berenjena-76504.html|Empanadas de berenjena|['8 discos de empanada', '2 berenjenas', '3 dientes de ajo', '1 cucharada postre de tomillo', '½ cucharada postre de ají molido o 1 pizca de chipotle en polvo', '1 huevo (opcional)']|2 comensales|1h 30m|Dificultad baja
2|h| |3|0|m
https://www.recetasgratis.net/articulo-tipos-de-tacos-76461.html|Tacos al pastor|['500 gr de lomo de cerdo', '100 gr de cebolla', '2 dientes de ajo', '3 limones', '500 gr de piña', '100 gr de chile ancho', '1 kg de tortilla de maíz taqueras', '3 cdas soperas de vinagre de manzana', '1 cda sopera de caldo de pollo en polvo', '1 bote de salsa verde o roja preparada', '1 cda sopera de orégano molido', '2 cdas soperas de pimentón dulce', '1 rama de cilantro', '1 pizca de sal y pimienta', '½ taza de aceite vegetal']|-|-|-
https://www.recetasgratis.net/articulo-tipos-de-tacos-76461.html|Tacos de canasta veganos|['3 papas medianas cocidas en cubos', '1 trozo de cebolla picada', '1 zanahoria rallada', '1 pizca de perejil seco', 'Sal y pimienta al gusto', '2 chiles chipotle adobados', '2 cdas soperas de aceite']|-|-|-
https://www.recetasgratis.net/articulo-tipos-de-tacos-76461.html|Tacos de pollo teriyaki|['200 gr de pechuga de pollo', '2 cdas soperas de salsa teriyaki', '1 cdta de paprika', '1 cdta de ajo en polvo', '1 cdta de sazonador de pollo', '2 cdas soperas de salsa de soja', '2 unidades de tortilla de maíz', '50 gr de cebolla roja', '5 unidades de lechuga', '1 unidad de limón', '1 pizca de sal', '1 pizca de pimienta', '1 chorro de aceite de oliva']|-|-|-
https://www.recetasgratis.net/articulo-tipos-de-tacos-76461.html|Tacos gobernador|['500 gr de camarón limpio', '½ cebolla', '2 dientes de ajo', '1 chile poblano', '2 cdas soperas de mantequilla', 'Sal al gusto', '1 taza de queso manchego rallado', 'Tortillas de maíz', 'Frijoles refritos al gusto']|-|-|-
https://www.recetasgratis.net/articulo-tipos-de-tacos-76461.html|Tacos dorados de frijoles con queso|['16 piezas de tortilla de maíz', '1 taza de frijoles molidos', '100 gr de longaniza', '100 gr de queso de hebra', '1/2 taza de aceite']|-|-|-
https://www.recetasgratis.net/articulo-tipos-de-tacos-76461.html|Más tipos de tacos mexicanos|['Masa para tacos', 'Tortillas de harina estilo sonora', 'Tortillas mexicanas de maíz', 'Tortillas de harina integral']|-|-|-
1|h| |3|0|m
1|5|m|-|-|-
3|0|m|-|-|-
1 unidad de jícama grande|1 unidad de pepino|2 unidades de jitomates medianos|½ pieza de cebolla morada|1 mango|1 rama de cilantro
3|0|m|-|-|-
4|5|m|-|-|-
1|h| |3|0|m
1|h| |3|0|m
1|h| |3|0|m
1|h| |3|0|m
3|0|m|-|-|-
5 vainas de patatas|aceite de oliva|sal|Para la mayonesa|1 huevo|1 vaso de aceite de girasol
4|5|m|-|-|-
1|h| |3|0|m
1|h| |3|0|m
1|h| |3|0|m
4|5|m|-|-|-
4|5|m|-|-|-
2|h| |3|0|m
https://www.recetasgratis.net/articulo-tipos-de-chilaquiles-76277.html|Chilaquiles rojos|['6 tortillas de maíz', '4 piezas de huevo', '250 gr de queso asadero', '1 taza de aceite vegetal', '3 piezas de chile pasilla', '500 gr de jitomate', '100 gr de cebolla', '¼ cda de postre de pimienta negra molida', '1 diente de ajo', '1 cda sopera de semillas de cilantro', '1 cda de postre de caldo de pollo en polvo', '¼ de cdta de postre de orégano molido', '¼ de cdta de postre de mejorana molida', '½ cda de postre de tomillo', '1 cda de postre de vinagre', '1 pizca de sal', '1 pizca de orégano']|-|-|-
https://www.recetasgratis.net/articulo-tipos-de-chilaquiles-76277.html|Chilaquiles verdes con pollo|['8 tomates verdes', '3 chiles serrano', '1 trozo de cebolla', '1 diente de ajo', '1 rama de cilantro', '2 hojas de epazotes frescos', '3 tazas de agua (720 ml)', 'Sal al gusto', 'Pimienta al gusto', '1 cdta de consomé de pollo en polvo']|-|-|-
https://www.recetasgratis.net/articulo-tipos-de-chilaquiles-76277.html|Chilaquiles de rancho|['15 piezas de tortilla', '125 gr de mantequilla', '1 pieza de cebolla', '100 gr de queso añejo', '3 chiles poblanos', '1 taza de puré de tomate', '¼ de crema ácida', '1 pizca de sal y pimienta']|-|-|-
https://www.recetasgratis.net/articulo-tipos-de-chilaquiles-76277.html|Chilaquiles de carne de res|['12 tortillas de maíz', '300 gr de bistec de res', '½ kilogramo de tomates rojos', '3 chiles jalapeño', '1 diente de ajo', '½ pieza de cebolla', '½ taza de aceite', '1 pizca de sal', '4 huevos', '1 pizca de cilantro']|-|-|-
https://www.recetasgratis.net/articulo-tipos-de-chilaquiles-76277.html|Chilaquiles en salsa de tres chiles|['3 chiles guajillo', '3 chiles anchos', '3 chiles Pasillo', '4 tazas de totopos', '2 dientes de ajo', '½ cebolla', '8 huevos', '1 cda sopera de consomé de pollo en polvo', '1 pizca de sal', '1 pizca de pimienta']|-|-|-
https://www.recetasgratis.net/articulo-tipos-de-chilaquiles-76277.html|Más tipos de chilaquiles|['Chilaquiles rojos con pollo', 'Torta de chilaquiles', 'Chilaquiles con arrachera', 'Chilaquiles keto', 'Chilaquiles con crema', 'Chilaquiles fitness', 'Chilaquiles con huevo estrellado', 'Chilaquiles verdes']|-|-|-
https://www.recetasgratis.net/articulo-tipos-de-quesadillas-76288.html|Quesadillas de papa con longaniza|['1 kilo de masa de maíz', '6 papas', '300 gr de longaniza fresca', '1 taza de crema agria', '1½ taza de queso rallado', '½ lechuga fresca', '1 pizca de sal', '1 pizca de pimienta', '½ taza de aceite']|-|-|-
https://www.recetasgratis.net/articulo-tipos-de-quesadillas-76288.html|Quesadillas de huitlacoche y flor de calabaza|['3 tazas de huitlacoche fresco', '300 gr de queso de hebra', '4 flores de calabaza frescas', '½ cebolla blanca', '1 diente ajo', '2 cdas soperas aceite', '1 pizca de sal', '1 pizca de pimienta', '16 tortillas de maíz']|-|-|-
